"hour","TDR_10bhs_vwc","TDR_30bhs_vwc","TDR_50bhs_vwc","TDR_10bhs_t","TDR_30bhs_t","TDR_50bhs_t"
2023-08-17 10:00:00,38.3166666666667,39.9666666666667,43.3833333333333,15.3,14.3166666666667,13.7166666666667
2023-08-17 11:00:00,38.1833333333333,40.075,43.3916666666667,15.3,14.3,13.7416666666667
2023-08-17 12:00:00,38.2083333333333,40.0083333333333,43.4083333333333,15.3083333333333,14.3,13.7
2023-08-17 13:00:00,38.1916666666667,40.0916666666667,43.4416666666667,15.4,14.3,13.7083333333333
2023-08-17 14:00:00,38.2,40.1583333333333,43.5416666666667,15.4,14.3,13.7
2023-08-17 15:00:00,38.2333333333333,40.3666666666667,43.7333333333333,15.4083333333333,14.3,13.7
2023-08-17 16:00:00,38.225,40.6083333333333,44,15.4333333333333,14.3,13.7
2023-08-17 17:00:00,38.35,40.9,44.175,15.475,14.3,13.7
2023-08-17 18:00:00,38.4583333333333,41.125,44.325,15.4416666666667,14.3,13.7
2023-08-17 19:00:00,38.6333333333333,41.375,44.475,15.4083333333333,14.3,13.675
2023-08-17 20:00:00,38.8,41.575,44.6,15.4,14.3,13.6916666666667
2023-08-17 21:00:00,38.8833333333333,41.7583333333333,44.675,15.3833333333333,14.2916666666667,13.6166666666667
2023-08-17 22:00:00,39.05,41.8666666666667,44.725,15.3,14.3,13.6083333333333
2023-08-17 23:00:00,39.1333333333333,41.95,44.775,15.2916666666667,14.2916666666667,13.6
2023-08-18,39.1916666666667,42.0416666666667,44.8,15.2583333333333,14.3,13.6
2023-08-18 01:00:00,39.275,42.1666666666667,44.7666666666667,15.2,14.2916666666667,13.6
2023-08-18 02:00:00,39.3166666666667,42.2083333333333,44.725,15.2,14.25,13.6
2023-08-18 03:00:00,39.375,42.3083333333333,44.8,15.175,14.275,13.6
2023-08-18 04:00:00,39.4,42.4166666666667,44.7833333333333,15.1,14.2416666666667,13.6
2023-08-18 05:00:00,39.4166666666667,42.4166666666667,44.7416666666667,15.1,14.2166666666667,13.6
2023-08-18 06:00:00,39.4166666666667,42.5083333333333,44.7833333333333,15.1,14.2166666666667,13.6083333333333
2023-08-18 07:00:00,39.475,42.575,44.7833333333333,15.0916666666667,14.2,13.6
2023-08-18 08:00:00,39.5083333333333,42.6,44.8,15.1,14.2083333333333,13.6166666666667
2023-08-18 09:00:00,39.675,45.5166666666667,44.8583333333333,15.1,14.15,13.6083333333333
2023-08-18 10:00:00,40.5416666666667,46.8916666666667,44.9,15.15,14.1,13.65
2023-08-18 11:00:00,41.1833333333333,46.9,44.9,15.2,14.1,13.675
2023-08-18 12:00:00,41.3833333333333,46.875,44.9,15.3333333333333,14.1,13.6916666666667
2023-08-18 13:00:00,41.3833333333333,46.8833333333333,44.9,15.5916666666667,14.0833333333333,13.7
2023-08-18 14:00:00,41.275,46.8166666666667,44.9,15.8333333333333,14.0416666666667,13.7
2023-08-18 15:00:00,41.2166666666667,46.8,44.8916666666667,16.125,14.0083333333333,13.7
2023-08-18 16:00:00,41.1333333333333,46.8083333333333,44.9,16.3083333333333,14.0083333333333,13.7
2023-08-18 17:00:00,41.1,46.7166666666667,44.9,16.35,14.0083333333333,13.7
2023-08-18 18:00:00,41.0333333333333,45.9666666666667,44.8916666666667,16.25,14,13.6916666666667
2023-08-18 19:00:00,41.025,45.3666666666667,44.8916666666667,16.0333333333333,14.025,13.6416666666667
2023-08-18 20:00:00,41.0416666666667,44.825,44.8916666666667,15.825,14.075,13.6583333333333
2023-08-18 21:00:00,40.9833333333333,44.625,44.8583333333333,15.575,14.1,13.6583333333333
2023-08-18 22:00:00,41,44.4583333333333,44.8916666666667,15.3666666666667,14.1,13.6666666666667
2023-08-18 23:00:00,41,44.3583333333333,44.9,15.2,14.1666666666667,13.625
2023-08-19,40.9916666666667,44.2916666666667,44.8916666666667,14.9916666666667,14.175,13.6416666666667
2023-08-19 01:00:00,40.9833333333333,44.25,44.8666666666667,14.825,14.1916666666667,13.6666666666667
2023-08-19 02:00:00,40.9666666666667,44.0916666666667,44.8583333333333,14.6333333333333,14.2,13.675
2023-08-19 03:00:00,40.9083333333333,44.0333333333333,44.8833333333333,14.4583333333333,14.2,13.6833333333333
2023-08-19 04:00:00,40.9583333333333,44.0083333333333,44.8833333333333,14.325,14.2,13.675
2023-08-19 05:00:00,40.9166666666667,43.9083333333333,44.9,14.2,14.2,13.6833333333333
2023-08-19 06:00:00,40.9083333333333,43.8833333333333,44.9,14.1166666666667,14.1833333333333,13.65
2023-08-19 07:00:00,40.825,43.75,44.8916666666667,14.075,14.175,13.6416666666667
2023-08-19 08:00:00,40.7833333333333,43.725,44.875,14.0166666666667,14.1666666666667,13.6166666666667
2023-08-19 09:00:00,40.775,43.675,44.8833333333333,14.0416666666667,14.1166666666667,13.6083333333333
2023-08-19 10:00:00,40.75,43.6,44.8666666666667,14.1666666666667,14.1,13.6166666666667
2023-08-19 11:00:00,40.7,43.575,44.8666666666667,14.35,14.1,13.6083333333333
2023-08-19 12:00:00,40.6083333333333,43.5083333333333,44.9,14.475,14.1,13.6
2023-08-19 13:00:00,40.5833333333333,43.425,44.875,14.65,14.1,13.6
2023-08-19 14:00:00,40.5833333333333,43.3833333333333,44.8416666666667,14.85,14.0833333333333,13.6
2023-08-19 15:00:00,40.4916666666667,43.3666666666667,44.825,15.0166666666667,14.075,13.6
2023-08-19 16:00:00,40.4833333333333,43.325,44.8666666666667,15.025,14.025,13.6
2023-08-19 17:00:00,40.4166666666667,43.325,44.8416666666667,14.9333333333333,14,13.6
2023-08-19 18:00:00,40.3833333333333,43.3,44.825,14.8583333333333,14,13.6
2023-08-19 19:00:00,40.3666666666667,43.2666666666667,44.8416666666667,14.725,14.0083333333333,13.6
2023-08-19 20:00:00,40.3916666666667,43.2583333333333,44.8,14.55,14,13.6
2023-08-19 21:00:00,40.3916666666667,43.1916666666667,44.8166666666667,14.4416666666667,14,13.6
2023-08-19 22:00:00,40.3083333333333,43.1916666666667,44.8083333333333,14.3083333333333,14,13.6
2023-08-19 23:00:00,40.2583333333333,43.0916666666667,44.8083333333333,14.2,14,13.6
2023-08-20,40.2416666666667,42.7666666666667,44.8166666666667,14.1,14,13.6
2023-08-20 01:00:00,40.2333333333333,42.625,44.8333333333333,14.0166666666667,14,13.6
2023-08-20 02:00:00,40.25,42.5666666666667,44.8,13.9333333333333,14,13.5916666666667
2023-08-20 03:00:00,40.225,42.4833333333333,44.8,13.8833333333333,13.9916666666667,13.6
2023-08-20 04:00:00,40.1666666666667,42.525,44.8,13.7916666666667,14,13.6
2023-08-20 05:00:00,40.1833333333333,42.4416666666667,44.8,13.725,14,13.5833333333333
2023-08-20 06:00:00,40.1666666666667,42.45,44.8,13.6666666666667,13.9916666666667,13.575
2023-08-20 07:00:00,40.125,42.4333333333333,44.8,13.6583333333333,13.9416666666667,13.5583333333333
2023-08-20 08:00:00,40.0916666666667,42.4,44.8,13.7166666666667,13.9,13.5416666666667
2023-08-20 09:00:00,40.1166666666667,42.375,44.8,13.85,13.9,13.525
2023-08-20 10:00:00,40.0666666666667,42.3833333333333,44.7916666666667,14.075,13.9,13.5
2023-08-20 11:00:00,40.025,42.35,44.7916666666667,14.4,13.9,13.5
2023-08-20 12:00:00,39.9583333333333,42.2583333333333,44.7416666666667,14.6916666666667,13.8583333333333,13.5
2023-08-20 13:00:00,39.9,42.2583333333333,44.7166666666667,15.0916666666667,13.8333333333333,13.5
2023-08-20 14:00:00,39.8083333333333,42.2333333333333,44.7416666666667,15.6833333333333,13.8,13.5
2023-08-20 15:00:00,39.725,42.1666666666667,44.6833333333333,16.1916666666667,13.8083333333333,13.5
2023-08-20 16:00:00,39.675,42.15,44.7,16.4416666666667,13.8,13.5
2023-08-20 17:00:00,39.6833333333333,42.1,44.6583333333333,16.4583333333333,13.8,13.5
2023-08-20 18:00:00,39.7,42.0833333333333,44.6,16.3666666666667,13.8083333333333,13.5
2023-08-20 19:00:00,39.6583333333333,42.05,44.6,16.2416666666667,13.8833333333333,13.5
2023-08-20 20:00:00,39.675,41.95,44.6416666666667,16.075,13.9,13.4916666666667
2023-08-20 21:00:00,39.6083333333333,41.95,44.6083333333333,15.9166666666667,13.9083333333333,13.4833333333333
2023-08-20 22:00:00,39.6333333333333,41.9166666666667,44.6166666666667,15.775,13.9166666666667,13.4916666666667
2023-08-20 23:00:00,39.625,41.9083333333333,44.6,15.625,13.9666666666667,13.4916666666667
2023-08-21,39.6,41.8916666666667,44.5916666666667,15.5166666666667,14,13.4666666666667
2023-08-21 01:00:00,39.6666666666667,41.8333333333333,44.6,15.4083333333333,14,13.5
2023-08-21 02:00:00,39.575,41.825,44.5916666666667,15.325,14,13.475
2023-08-21 03:00:00,39.5583333333333,41.775,44.575,15.25,14,13.5
2023-08-21 04:00:00,39.5666666666667,41.7916666666667,44.5416666666667,15.2,14,13.5
2023-08-21 05:00:00,39.55,41.775,44.525,15.1583333333333,14,13.5
2023-08-21 06:00:00,39.55,41.725,44.5083333333333,15.1,14.0083333333333,13.5
2023-08-21 07:00:00,39.475,41.6666666666667,44.5,15.1583333333333,14.0166666666667,13.5
2023-08-21 08:00:00,39.4333333333333,41.6833333333333,44.5,15.2,14.0416666666667,13.5
2023-08-21 09:00:00,39.3833333333333,41.65,44.4833333333333,15.2833333333333,14.0333333333333,13.5
2023-08-21 10:00:00,39.4083333333333,41.5833333333333,44.4583333333333,15.375,14.0583333333333,13.5
2023-08-21 11:00:00,39.375,41.5833333333333,44.4333333333333,15.5416666666667,14.0416666666667,13.5
2023-08-21 12:00:00,39.325,41.5416666666667,44.45,15.825,14.0583333333333,13.5
2023-08-21 13:00:00,39.2666666666667,41.4833333333333,44.4083333333333,16.175,14.075,13.5
2023-08-21 14:00:00,39.1833333333333,41.45,44.4083333333333,16.4666666666667,14.0916666666667,13.5
2023-08-21 15:00:00,39.1833333333333,41.4166666666667,44.3916666666667,16.7166666666667,14.0833333333333,13.5
2023-08-21 16:00:00,39.1,41.3666666666667,44.3333333333333,16.8,14.1,13.5
2023-08-21 17:00:00,39.0833333333333,41.325,44.3166666666667,16.7583333333333,14.1,13.5
2023-08-21 18:00:00,39.1166666666667,41.2916666666667,44.3,16.6083333333333,14.1,13.5
2023-08-21 19:00:00,39.05,41.25,44.3,16.4166666666667,14.1,13.5
2023-08-21 20:00:00,39.075,41.3,44.2916666666667,16.1666666666667,14.1083333333333,13.5
2023-08-21 21:00:00,39.0583333333333,41.2,44.2583333333333,15.8833333333333,14.1583333333333,13.525
